input,tsn_species,tsn_genus,tsn_family,tsn_order,tsn_class,tsn_phylum,tsn_kingdom,species,genus,family,order,class,phylum,kingdom,log
Pieris rapae,188541,188536,117267,117232,99208,82696,202423,rapae,Pieris,Pieridae,Lepidoptera,Insecta,Arthropoda,Animalia,Species found
Inachis io,0,0,0,0,0,0,0,io,Inachis,Nymphalidae,Lepidoptera,Insecta,Arthropoda,Animalia,Species found
Aglais urticae,778267,777606,117276,117232,99208,82696,202423,urticae,Aglais,Nymphalidae,Lepidoptera,Insecta,Arthropoda,Animalia,Species found
Aphantopus hyperantus,0,0,0,0,0,0,0,hyperantus,Aphantopus,Satyridae,Lepidoptera,Insecta,Arthropoda,Animalia,Species found
Maniola jurtina,0,0,0,0,0,0,0,jurtina,Maniola,Nymphalidae,Lepidoptera,Insecta,Arthropoda,Animalia,Species found
Ochlodes sylvanus,0,706436,117278,117232,99208,82696,202423,,Ochlodes,Hesperiidae,Lepidoptera,Insecta,Arthropoda,Animalia,Genus found
Pieris brassicae,778274,188536,117267,117232,99208,82696,202423,brassicae,Pieris,Pieridae,Lepidoptera,Insecta,Arthropoda,Animalia,Species found
Pieris napi,188538,188536,117267,117232,99208,82696,202423,napi,Pieris,Pieridae,Lepidoptera,Insecta,Arthropoda,Animalia,Species found
Polygonia c-album,0,188587,117276,117232,99208,82696,202423,,Polygonia,Nymphalidae,Lepidoptera,Insecta,Arthropoda,Animalia,Genus found
Polyommatus icarus,0,0,0,0,0,0,0,icarus,Polyommatus,Lycaenidae,Lepidoptera,Insecta,Arthropoda,Animalia,Species found
Pyronia tithonus,0,0,0,0,0,0,0,tithonus,Pyronia,Nymphalidae,Lepidoptera,Insecta,Arthropoda,Animalia,Species found
Thymelicus sylvestris,0,188608,117278,117232,99208,82696,202423,,Thymelicus,Hesperiidae,Lepidoptera,Insecta,Arthropoda,Animalia,Genus found
